URL,Product_id,BrandName,Category,Individual_category,category_by_Gender,Description,DiscountPrice (in Rs),OriginalPrice (in Rs),SizeOption,Ratings,Reviews,Discount %,Discount offer,Discount price
https://www.myntra.com/tshirts/roadster/roadster-women-pack-of-2-pure-cotton-t-shirts/17384026/buy,17384026,Roadster,Western,tshirts,Women,roadster women pack of 2 pure cotton t shirts,,1298,"L, M, S, XS, XL",4.3,560,53,687,610
https://www.myntra.com/shorts/arise/arise-men-navy-blue--white-colourblocked-regular-fit-shorts/9194197/buy,9194197,ARISE,Bottom Wear,shorts,Men,arise men navy blue  white colourblocked regular fit shorts,599,999,"30, 32, 34, 36, 38",4.1,559,40,399,599
https://www.myntra.com/trousers/roadster/roadster-men-olive-green-trousers/13859370/buy,13859370,Roadster,Bottom Wear,trousers,Men,roadster men olive green trousers,519,1299,"28, 30, 32, 34, 36",4,559,60,779,520
https://www.myntra.com/jackets/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-solid-hooded-sporty-jacket/9445461/buy,9445461,HRX by Hrithik Roshan,Sports Wear,jackets,Men,hrx by hrithik roshan men navy blue solid hooded sporty jacket,1259,3599,"S, M, L, XL, XXL",4.2,559,65,2339,1260
https://www.myntra.com/tshirts/wrogn/wrogn-men-mustard-yellow-printed-round-neck-t-shirt/11363336/buy,11363336,WROGN,Topwear,tshirts,Men,wrogn men mustard yellow printed round neck t shirt,494,899,"S, M, L, XL, XXL",4.4,559,45,404,494
https://www.myntra.com/kurtas/herenow/herenow-women-yellow--white-leheriya-print-straight-kurta/12652070/buy,12652070,HERE&NOW,Indian Wear,kurtas,Women,herenow women yellow  white leheriya print straight kurta,419,1199,"XS, S, M, L, XL, XXL, 3XL",4.1,559,65,779,420
https://www.myntra.com/dresses/anouk/anouk-women-blue-striped-a-line-dress/12134596/buy,12134596,Anouk,Indian Wear,dresses,Women,anouk women blue striped a line dress,1049,2099,"XS, S, M, L, XL, XXL",4,559,50,1049,1050
https://www.myntra.com/tops/dressberry/dressberry-mustard-yellow-self-striped-fitted-top/11272632/buy,11272632,DressBerry,Western,tops,Women,dressberry mustard yellow self striped fitted top,,1099,"XS, S, M, L, XL",4.5,559,40,439,659
https://www.myntra.com/shirts/roadster/roadster-women-blue--black-regular-fit-polka-dot-print-casual-shirt/13298958/buy,13298958,Roadster,Western,shirts,Women,roadster women blue  black regular fit polka dot print casual shirt,,999,"XS, S, M, L, XL, XXL",4.3,559,50,499,500
https://www.myntra.com/kurta-sets/anouk/anouk-men-green--black-self-design-kurta-with-pyjamas/9365921/buy,9365921,Anouk,Indian Wear,kurta-sets,Men,anouk men green  black self design kurta with pyjamas,1479,3699,"S, M, L, XL, XXL",4.1,558,60,2219,1480
https://www.myntra.com/socks/wrogn/-wrogn-men-pack-of-3-patterned-ankle-length-socks/12402754/buy,12402754,WROGN,Inner Wear &  Sleep Wear,socks,Men, wrogn men pack of 3 patterned ankle length socks,384,549,Onesize,4.4,558,30,164,384
https://www.myntra.com/boxers/jockey/jockey-men-pack-of-2-printed-pure-cotton-boxers-8222-0205/11036954/buy,11036954,Jockey,Inner Wear &  Sleep Wear,boxers,Men,jockey men pack of 2 printed pure cotton boxers 8222 0205,,749,"S, M, L",4.1,558,31,232,517
https://www.myntra.com/boxers/levis/levis-men-pack-of-2-pure-cotton-checked-boxers/18028832/buy,18028832,Levis,Inner Wear &  Sleep Wear,boxers,Men,levis men pack of 2 pure cotton checked boxers,,1098,"S, M, L, XL",4.3,558,31,340,758
https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-navy-blue-solid-running-regular-fit-round-neck-t-shirt/10106299/buy,10106299,HRX by Hrithik Roshan,Sports Wear,tshirts,Men,hrx by hrithik roshan men navy blue solid running regular fit round neck t shirt,494,1099,"S, M, L, XL, XXL",4.1,558,55,604,495
https://www.myntra.com/tshirts/campus-sutra/campus-sutra-men-grey--black-colourblocked-polo-collar-t-shirt/11582844/buy,11582844,Campus Sutra,Sports Wear,tshirts,Men,campus sutra men grey  black colourblocked polo collar t shirt,472,1099,"S, M, L, XL",3.9,558,57,626,473
https://www.myntra.com/sweatshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-red-solid-hooded-sweatshirt/4881811/buy,4881811,HRX by Hrithik Roshan,Sports Wear,sweatshirts,Men,hrx by hrithik roshan men red solid hooded sweatshirt,874,2499,"S, M, L, XL, XXL",3.8,558,65,1624,875
https://www.myntra.com/shirts/mast--harbour/mast--harbour-men-sea-green-regular-fit-printed-casual-shirt/11222202/buy,11222202,Mast & Harbour,Topwear,shirts,Men,mast  harbour men sea green regular fit printed casual shirt,759,1899,"38, 40, 42, 44",4.2,558,60,1139,760
https://www.myntra.com/shirts/wrogn/wrogn-men-teal-blue--beige-slim-fit-checked-casual-shirt/11361498/buy,11361498,WROGN,Topwear,shirts,Men,wrogn men teal blue  beige slim fit checked casual shirt,1199,2399,"39, 40, 42, 44, 46",4.3,558,50,1199,1200
https://www.myntra.com/tshirts/moda-rapido/moda-rapido-men-maroon-solid-round-neck-t-shirt/11659408/buy,11659408,Moda Rapido,Topwear,tshirts,Men,moda rapido men maroon solid round neck t shirt,319,799,"S, M, L, XL, XXL",4.3,558,60,479,320
https://www.myntra.com/kurtas/sangria/sangria-women-blue--golden-printed-straight-kurta/11536856/buy,11536856,Sangria,Indian Wear,kurtas,Women,sangria women blue  golden printed straight kurta,454,1299,"XS, S, M, L, XL, XXL, 3XL",4.1,558,65,844,455
https://www.myntra.com/dresses/vishudh/vishudh-women-cream-coloured-striped-fit--flare-midi-dress/14914832/buy,14914832,Vishudh,Indian Wear,dresses,Women,vishudh women cream coloured striped fit  flare midi dress,594,1449,"S, M, L, XL, XXL",4.1,558,59,854,594
